"Source:"	"C:\Users\Carlo Carino\Documents\ROAMER\ROAMER\pi_lora_hat_rtc\hat.sch"
"Date:"	"2/24/2022 4:21:13 PM"
"Tool:"	"Eeschema (5.1.10)-1"
"Component Count:"	"51"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"R9"	"10k"	"Device:R"	"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"	"Resistor"	""
"R10"	"10k"	"Device:R"	"Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder"	"Resistor"	""
"SCL_PU1"	"Conn_01x03_Male"	"Connector:Conn_01x03_Male"	"Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical"	"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"SDA_PU1"	"Conn_01x03_Male"	"Connector:Conn_01x03_Male"	"Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical"	"Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"SPI_PORT1"	"Conn_01x07_Male"	"Connector:Conn_01x07_Male"	"Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical"	"Generic connector, single row, 01x07, script generated (kicad-library-utils/schlib/autogen/connector/)"	""
"SW1"	"SW_Push"	"Switch:SW_Push"	"Button_Switch_SMD:SW_Push_1P1T_NO_6x6mm_H9.5mm"	"Push button switch, generic, two pins"	""
"U1"	"RFM95"	"hoperf:RFM95"	"HopeRF:RFM95-Headers"	""	""
"U2"	"uFL-SMA"	"antenna:uFL-SMA"	"antenna:uFLSMA"	""	""
"U3"	"74HC4050D"	"logicshifter:74HC4050D"	"logicshifter:74HC4050"	""	""
"U4"	"ProMicro"	"promicro:ProMicro"	"promicro_library:ProMicro"	""	""
"U5"	"AP2112K-3.3"	"Regulator_Linear:AP2112K-3.3"	"Package_TO_SOT_SMD:SOT-23-5"	"600mA low dropout linear regulator, with enable pin, 3.8V-6V input voltage range, 3.3V fixed positive output, SOT-23-5"	""
"U6"	"DS3231M"	"Timer_RTC:DS3231M"	"Package_SO:SOIC-16W_7.5x10.3mm_P1.27mm"	"Extremely Accurate I2C-Integrated RTC/TCXO/Crystal SOIC-16"	""
